  amax   Mstar      Mdot  Rd     Q      Md
    mm    Msun   Msun/yr  AU          Msun
=========================================
1.00e+01  0.50  1.00e-05  40  1.50  0.3911
1.00e+01  0.50  1.00e-05  40  1.00  0.7052
1.00e+01  0.50  1.00e-05  40  0.50  2.3439
1.00e+01  0.50  1.00e-05  40  0.75  1.1228
1.00e+01  0.50  1.00e-05  40  0.30  7.0960
1.00e+01  0.50  1.00e-06  40  1.50  0.3271
1.00e+01  0.50  1.00e-06  40  1.00  0.5758
1.00e+01  0.50  1.00e-06  40  0.50  1.8331
1.00e+01  0.50  1.00e-06  40  0.75  0.9017
1.00e+01  0.50  1.00e-06  40  0.30  5.3726
1.00e+01  0.50  1.00e-07  40  1.50  0.2673
1.00e+01  0.50  1.00e-07  40  1.00  0.4643
1.00e+01  0.50  1.00e-07  40  0.50  1.3912
1.00e+01  0.50  1.00e-07  40  0.75  0.7094
1.00e+01  0.50  1.00e-07  40  0.30  3.8581
1.00e+01  0.50  1.00e-08  40  1.50  0.2180
1.00e+01  0.50  1.00e-08  40  1.00  0.3675
1.00e+01  0.50  1.00e-08  40  0.50  1.0423
1.00e+01  0.50  1.00e-08  40  0.75  0.5524
1.00e+01  0.50  1.00e-08  40  0.30  2.7004
1.00e+00  0.50  1.00e-05  40  1.50  0.4188
1.00e+00  0.50  1.00e-05  40  1.00  0.7605
1.00e+00  0.50  1.00e-05  40  0.50  2.6112
1.00e+00  0.50  1.00e-05  40  0.75  1.2162
1.00e+00  0.50  1.00e-05  40  0.30  7.9652
1.00e+00  0.50  1.00e-06  40  1.50  0.3571
1.00e+00  0.50  1.00e-06  40  1.00  0.6313
1.00e+00  0.50  1.00e-06  40  0.50  2.0779
1.00e+00  0.50  1.00e-06  40  0.75  1.0023
1.00e+00  0.50  1.00e-06  40  0.30  6.2201
1.00e+00  0.50  1.00e-07  40  1.50  0.2926
1.00e+00  0.50  1.00e-07  40  1.00  0.5126
1.00e+00  0.50  1.00e-07  40  0.50  1.5914
1.00e+00  0.50  1.00e-07  40  0.75  0.7957
1.00e+00  0.50  1.00e-07  40  0.30  4.5581
1.00e+00  0.50  1.00e-08  40  1.50  0.2368
1.00e+00  0.50  1.00e-08  40  1.00  0.4047
1.00e+00  0.50  1.00e-08  40  0.50  1.1871
1.00e+00  0.50  1.00e-08  40  0.75  0.6143
1.00e+00  0.50  1.00e-08  40  0.30  3.2090
7.00e-01  0.50  1.00e-05  40  1.50  0.4272
7.00e-01  0.50  1.00e-05  40  1.00  0.7724
7.00e-01  0.50  1.00e-05  40  0.50  2.6847
7.00e-01  0.50  1.00e-05  40  0.75  1.2510
7.00e-01  0.50  1.00e-05  40  0.30  8.0829
7.00e-01  0.50  1.00e-06  40  1.50  0.3617
7.00e-01  0.50  1.00e-06  40  1.00  0.6492
7.00e-01  0.50  1.00e-06  40  0.50  2.1397
7.00e-01  0.50  1.00e-06  40  0.75  1.0227
7.00e-01  0.50  1.00e-06  40  0.30  6.3781
7.00e-01  0.50  1.00e-07  40  1.50  0.2971
7.00e-01  0.50  1.00e-07  40  1.00  0.5209
7.00e-01  0.50  1.00e-07  40  0.50  1.6412
7.00e-01  0.50  1.00e-07  40  0.75  0.8106
7.00e-01  0.50  1.00e-07  40  0.30  4.7288
7.00e-01  0.50  1.00e-08  40  1.50  0.2417
7.00e-01  0.50  1.00e-08  40  1.00  0.4142
7.00e-01  0.50  1.00e-08  40  0.50  1.2184
7.00e-01  0.50  1.00e-08  40  0.75  0.6306
7.00e-01  0.50  1.00e-08  40  0.30  3.3316
5.00e-01  0.50  1.00e-05  40  1.50  0.4288
5.00e-01  0.50  1.00e-05  40  1.00  0.7815
5.00e-01  0.50  1.00e-05  40  0.50  2.6950
5.00e-01  0.50  1.00e-05  40  0.75  1.2610
5.00e-01  0.50  1.00e-05  40  0.30  8.1265
5.00e-01  0.50  1.00e-06  40  1.50  0.3629
5.00e-01  0.50  1.00e-06  40  1.00  0.6496
5.00e-01  0.50  1.00e-06  40  0.50  2.1647
5.00e-01  0.50  1.00e-06  40  0.75  1.0329
5.00e-01  0.50  1.00e-06  40  0.30  6.4738
5.00e-01  0.50  1.00e-07  40  1.50  0.3001
5.00e-01  0.50  1.00e-07  40  1.00  0.5266
5.00e-01  0.50  1.00e-07  40  0.50  1.6542
5.00e-01  0.50  1.00e-07  40  0.75  0.8215
5.00e-01  0.50  1.00e-07  40  0.30  4.7813
5.00e-01  0.50  1.00e-08  40  1.50  0.2416
5.00e-01  0.50  1.00e-08  40  1.00  0.4155
5.00e-01  0.50  1.00e-08  40  0.50  1.2335
5.00e-01  0.50  1.00e-08  40  0.75  0.6335
5.00e-01  0.50  1.00e-08  40  0.30  3.3820
3.00e-01  0.50  1.00e-05  40  1.50  0.4372
3.00e-01  0.50  1.00e-05  40  1.00  0.7913
3.00e-01  0.50  1.00e-05  40  0.50  2.7835
3.00e-01  0.50  1.00e-05  40  0.75  1.2830
3.00e-01  0.50  1.00e-05  40  0.30  8.3328
3.00e-01  0.50  1.00e-06  40  1.50  0.3702
3.00e-01  0.50  1.00e-06  40  1.00  0.6660
3.00e-01  0.50  1.00e-06  40  0.50  2.2374
3.00e-01  0.50  1.00e-06  40  0.75  1.0634
3.00e-01  0.50  1.00e-06  40  0.30  6.6982
3.00e-01  0.50  1.00e-07  40  1.50  0.3017
3.00e-01  0.50  1.00e-07  40  1.00  0.5360
3.00e-01  0.50  1.00e-07  40  0.50  1.7114
3.00e-01  0.50  1.00e-07  40  0.75  0.8319
3.00e-01  0.50  1.00e-07  40  0.30  4.9783
3.00e-01  0.50  1.00e-08  40  1.50  0.2432
3.00e-01  0.50  1.00e-08  40  1.00  0.4198
3.00e-01  0.50  1.00e-08  40  0.50  1.2527
3.00e-01  0.50  1.00e-08  40  0.75  0.6423
3.00e-01  0.50  1.00e-08  40  0.30  3.5055
1.00e-01  0.50  1.00e-05  40  1.50  0.4455
1.00e-01  0.50  1.00e-05  40  1.00  0.8172
1.00e-01  0.50  1.00e-05  40  0.50  2.8757
1.00e-01  0.50  1.00e-05  40  0.75  1.3220
1.00e-01  0.50  1.00e-05  40  0.30  8.4995
1.00e-01  0.50  1.00e-06  40  1.50  0.3735
1.00e-01  0.50  1.00e-06  40  1.00  0.6787
1.00e-01  0.50  1.00e-06  40  0.50  2.3309
1.00e-01  0.50  1.00e-06  40  0.75  1.0931
1.00e-01  0.50  1.00e-06  40  0.30  7.0264
1.00e-01  0.50  1.00e-07  40  1.50  0.2981
1.00e-01  0.50  1.00e-07  40  1.00  0.5327
1.00e-01  0.50  1.00e-07  40  0.50  1.7502
1.00e-01  0.50  1.00e-07  40  0.75  0.8339
1.00e-01  0.50  1.00e-07  40  0.30  5.2521
1.00e-01  0.50  1.00e-08  40  1.50  0.2374
1.00e-01  0.50  1.00e-08  40  1.00  0.4093
1.00e-01  0.50  1.00e-08  40  0.50  1.2352
