  amax   Mstar      Mdot  Rd    Q      Md
    mm    Msun   Msun/yr  AU         Msun
=========================================
1.00e+01  0.50  1.00e-04  40  0.8  1.1845
1.00e+01  0.50  1.00e-04  40  0.7  1.5041
1.00e+01  0.50  1.00e-04  40  0.6  2.0010
1.00e+01  0.50  1.00e-04  40  0.5  2.8748
1.00e+01  0.50  1.00e-04  40  0.4  4.5923
1.00e+01  0.50  1.00e-04  40  0.3  8.4334
1.00e+01  0.50  5.00e-04  40  0.8  1.3067
1.00e+01  0.50  5.00e-04  40  0.7  1.6374
1.00e+01  0.50  5.00e-04  40  0.6  2.2014
1.00e+01  0.50  5.00e-04  40  0.5  3.1249
1.00e+01  0.50  5.00e-04  40  0.4  4.8574
1.00e+01  0.50  5.00e-04  40  0.3  8.4557
1.00e+01  0.50  1.00e-05  40  0.8  1.0026
1.00e+01  0.50  1.00e-05  40  0.7  1.2599
1.00e+01  0.50  1.00e-05  40  0.6  1.6559
1.00e+01  0.50  1.00e-05  40  0.5  2.3439
1.00e+01  0.50  1.00e-05  40  0.4  3.7477
1.00e+01  0.50  1.00e-05  40  0.3  7.0960
1.00e+01  0.50  5.00e-05  40  0.8  1.1375
1.00e+01  0.50  5.00e-05  40  0.7  1.4330
1.00e+01  0.50  5.00e-05  40  0.6  1.9095
1.00e+01  0.50  5.00e-05  40  0.5  2.7332
1.00e+01  0.50  5.00e-05  40  0.4  4.3612
1.00e+01  0.50  5.00e-05  40  0.3  8.2410
1.00e+01  0.50  1.00e-06  40  0.8  0.8165
1.00e+01  0.50  1.00e-06  40  0.7  1.0076
1.00e+01  0.50  1.00e-06  40  0.6  1.3178
1.00e+01  0.50  1.00e-06  40  0.5  1.8331
1.00e+01  0.50  1.00e-06  40  0.4  2.8664
1.00e+01  0.50  1.00e-06  40  0.3  5.3726
1.00e+00  0.50  1.00e-04  40  0.8  1.2714
1.00e+00  0.50  1.00e-04  40  0.7  1.6155
1.00e+00  0.50  1.00e-04  40  0.6  2.1576
1.00e+00  0.50  1.00e-04  40  0.5  3.1168
1.00e+00  0.50  1.00e-04  40  0.4  4.8542
1.00e+00  0.50  1.00e-04  40  0.3  8.5658
1.00e+00  0.50  5.00e-04  40  0.8  1.3452
1.00e+00  0.50  5.00e-04  40  0.7  1.6916
1.00e+00  0.50  5.00e-04  40  0.6  2.2355
1.00e+00  0.50  5.00e-04  40  0.5  3.1317
1.00e+00  0.50  5.00e-04  40  0.4  4.7823
1.00e+00  0.50  5.00e-04  40  0.3  7.6894
1.00e+00  0.50  1.00e-05  40  0.8  1.0943
1.00e+00  0.50  1.00e-05  40  0.7  1.3830
1.00e+00  0.50  1.00e-05  40  0.6  1.8295
1.00e+00  0.50  1.00e-05  40  0.5  2.6112
1.00e+00  0.50  1.00e-05  40  0.4  4.2000
1.00e+00  0.50  1.00e-05  40  0.3  7.9652
1.00e+00  0.50  5.00e-05  40  0.8  1.2185
1.00e+00  0.50  5.00e-05  40  0.7  1.5514
1.00e+00  0.50  5.00e-05  40  0.6  2.0692
1.00e+00  0.50  5.00e-05  40  0.5  2.9790
1.00e+00  0.50  5.00e-05  40  0.4  4.7194
1.00e+00  0.50  5.00e-05  40  0.3  8.5930
1.00e+00  0.50  1.00e-06  40  0.8  0.9040
1.00e+00  0.50  1.00e-06  40  0.7  1.1311
1.00e+00  0.50  1.00e-06  40  0.6  1.4842
1.00e+00  0.50  1.00e-06  40  0.5  2.0779
1.00e+00  0.50  1.00e-06  40  0.4  3.2714
1.00e+00  0.50  1.00e-06  40  0.3  6.2201
7.00e-01  0.50  1.00e-04  40  0.8  1.2791
7.00e-01  0.50  1.00e-04  40  0.7  1.6347
7.00e-01  0.50  1.00e-04  40  0.6  2.1701
7.00e-01  0.50  1.00e-04  40  0.5  3.1508
7.00e-01  0.50  1.00e-04  40  0.4  4.8852
7.00e-01  0.50  1.00e-04  40  0.3  8.4960
7.00e-01  0.50  5.00e-04  40  0.8  1.3382
7.00e-01  0.50  5.00e-04  40  0.7  1.7069
7.00e-01  0.50  5.00e-04  40  0.6  2.2469
7.00e-01  0.50  5.00e-04  40  0.5  3.1442
7.00e-01  0.50  5.00e-04  40  0.4  4.6646
7.00e-01  0.50  5.00e-04  40  0.3  7.3380
7.00e-01  0.50  1.00e-05  40  0.8  1.1184
7.00e-01  0.50  1.00e-05  40  0.7  1.4144
7.00e-01  0.50  1.00e-05  40  0.6  1.8756
7.00e-01  0.50  1.00e-05  40  0.5  2.6847
7.00e-01  0.50  1.00e-05  40  0.4  4.3083
7.00e-01  0.50  1.00e-05  40  0.3  8.0829
7.00e-01  0.50  5.00e-05  40  0.8  1.2341
7.00e-01  0.50  5.00e-05  40  0.7  1.5747
7.00e-01  0.50  5.00e-05  40  0.6  2.1015
7.00e-01  0.50  5.00e-05  40  0.5  3.0482
7.00e-01  0.50  5.00e-05  40  0.4  4.7770
7.00e-01  0.50  5.00e-05  40  0.3  8.6197
7.00e-01  0.50  1.00e-06  40  0.8  0.9194
7.00e-01  0.50  1.00e-06  40  0.7  1.1516
7.00e-01  0.50  1.00e-06  40  0.6  1.5202
7.00e-01  0.50  1.00e-06  40  0.5  2.1397
7.00e-01  0.50  1.00e-06  40  0.4  3.3651
7.00e-01  0.50  1.00e-06  40  0.3  6.3781
5.00e-01  0.50  1.00e-04  40  0.8  1.2892
5.00e-01  0.50  1.00e-04  40  0.7  1.6358
5.00e-01  0.50  1.00e-04  40  0.6  2.2010
5.00e-01  0.50  1.00e-04  40  0.5  3.1194
5.00e-01  0.50  1.00e-04  40  0.4  4.8690
5.00e-01  0.50  1.00e-04  40  0.3  8.5417
5.00e-01  0.50  5.00e-04  40  0.8  1.3436
5.00e-01  0.50  5.00e-04  40  0.7  1.6980
5.00e-01  0.50  5.00e-04  40  0.6  2.2621
5.00e-01  0.50  5.00e-04  40  0.5  3.1273
5.00e-01  0.50  5.00e-04  40  0.4  4.6958
5.00e-01  0.50  5.00e-04  40  0.3  7.2184
5.00e-01  0.50  1.00e-05  40  0.8  1.1220
5.00e-01  0.50  1.00e-05  40  0.7  1.4134
5.00e-01  0.50  1.00e-05  40  0.6  1.9005
5.00e-01  0.50  1.00e-05  40  0.5  2.6950
5.00e-01  0.50  1.00e-05  40  0.4  4.3246
5.00e-01  0.50  1.00e-05  40  0.3  8.1265
5.00e-01  0.50  5.00e-05  40  0.8  1.2513
5.00e-01  0.50  5.00e-05  40  0.7  1.5770
5.00e-01  0.50  5.00e-05  40  0.6  2.1243
5.00e-01  0.50  5.00e-05  40  0.5  3.0327
5.00e-01  0.50  5.00e-05  40  0.4  4.8553
5.00e-01  0.50  5.00e-05  40  0.3  8.6076
5.00e-01  0.50  1.00e-06  40  0.8  0.9321
5.00e-01  0.50  1.00e-06  40  0.7  1.1584
5.00e-01  0.50  1.00e-06  40  0.6  1.5300
5.00e-01  0.50  1.00e-06  40  0.5  2.1647
